Rita,Harvey,mergecell,Geofips,State,Geoname,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
0,0,anderson_tx,48001,TX,"Anderson, TX",353181,364300,373853,379081,252502,264639,280690,255842,1052845,1087229,1148385,1115619,1658527,1716169,1802928,1750543,19314,19909,20903,22203,23922,25932,25272,26725,28165,29598,30051,30978,31947,33186,33362,56068,56245,56873,57386,57870,57963,58410,58495,58379,58036,57960,57837,57641,57558,57741,1082875,1119799,1188813,1274139,1384381,1503087,1476138,1563308,1644218,1717742,1741758,1791659,1841435,1910130,1926333
0,0,andrews_tx,48003,TX,"Andrews, TX",86336,94068,104376,112024,604696,701949,756245,521514,327043,373943,427631,410584,1018074,1169960,1288251,1044121,24899,26461,29150,32818,34910,39946,34088,36393,42710,48120,50233,54259,45836,40850,43105,12976,13006,13016,13195,13513,14099,14601,14847,15386,16106,16788,17448,18092,17837,17722,323084,344153,379420,433032,471737,563196,497715,540329,657133,775017,843304,946718,829270,728642,763902
Rita,0,angelina_tx,48005,TX,"Angelina, TX",422059,435034,448495,466869,924894,867072,973580,843033,1837446,1907102,1969940,1967558,3184399,3209208,3392014,3277460,24985,25737,26733,28170,29737,31285,30494,31315,33272,35214,34744,37273,38133,37485,37555,81510,82070,82553,83810,84518,84961,86029,86903,87282,87496,87365,87601,87901,87830,87805,2036544,2112269,2206896,2360893,2513351,2657994,2623389,2721392,2904032,3081076,3035372,3265174,3351891,3292273,3297553
0,Harvey,aransas_tx,48007,TX,"Aransas, TX",66852,67706,69293,73815,143523,142991,156343,125833,318404,347062,346736,365020,528779,557760,572373,564667,25659,27534,29574,31858,33884,35826,35188,37509,40338,44309,45257,46502,47251,43825,44820,22843,23067,23561,23395,23172,23225,23291,23181,23228,23462,23897,24581,24834,25275,25572,586137,635120,696800,745324,785170,832049,819564,869502,936968,1039579,1081516,1143055,1173424,1107668,1146138
0,0,archer_tx,48009,TX,"Archer, TX",31429,35226,36813,34966,150923,178865,167259,101747,70767,96730,102882,114408,253119,310821,306953,251121,28941,29151,29867,33215,35266,39847,37143,38980,42338,45627,47679,49893,46335,46335,47110,9013,9078,9068,9063,9026,9104,9023,9112,8834,8808,8793,8835,8755,8774,8809,260844,264630,270837,301030,318312,362765,335138,355184,374018,401881,419243,440801,405667,406544,414992
0,0,armstrong_tx,48011,TX,"Armstrong, TX",7405,7995,8173,8337,9067,12075,12350,14955,14957,13045,13491,15338,31430,33116,34014,38630,33000,34560,35084,36051,40825,39414,36937,40176,38725,37206,42665,43644,44196,45859,45262,2001,2023,2037,1989,1936,1936,1911,1902,1937,1955,1940,1917,1902,1856,1879,66032,69915,71467,71705,79038,76306,70586,76415,75010,72737,82770,83666,84061,85114,85048
0,0,atascosa_tx,48013,TX,"Atascosa, TX",142586,153729,163925,173747,579786,737300,755047,585009,791885,927771,1165539,1540970,1514256,1818801,2084511,2299726,21113,21520,22811,24583,25914,27519,26807,28793,31894,34097,35589,37875,35683,33961,34372,41306,42109,42495,43059,43611,43947,44623,44950,45483,46415,46997,47700,48349,48666,48981,872104,906195,969374,1058504,1130117,1209399,1196208,1294237,1450641,1582606,1672557,1806653,1725230,1652769,1683594
0,Harvey,austin_tx,48015,TX,"Austin, TX",113733,102449,94954,99265,375421,411966,380073,480555,581642,624570,675268,725332,1070796,1138985,1150295,1305153,29725,30682,33580,37452,39482,42626,39004,39332,41248,46698,46055,49177,50887,49060,49262,25388,25976,26331,26828,27454,27935,28254,28357,28570,28516,28651,28940,29447,29637,29786,754668,796999,884192,1004767,1083946,1190771,1102030,1115335,1178450,1331630,1319531,1423173,1498477,1453991,1467332
0,0,bailey_tx,48017,TX,"Bailey, TX",33574,34468,34937,30169,94502,132735,118660,133562,98971,105359,112732,117162,227048,272561,266329,280893,24424,24143,26949,27162,28204,29223,26659,31605,34093,35723,36436,43351,44829,39170,44659,6791,6945,7024,7001,6927,6979,7050,7153,7159,7107,7097,6939,7199,7180,7077,165864,167670,189292,190158,195372,203945,187944,226072,244074,253881,258584,300813,322727,281238,316051
0,0,bandera_tx,48019,TX,"Bandera, TX",48147,49132,48860,49515,72942,83914,85344,70095,129355,153489,168394,172119,250444,286535,302598,291729,26774,27953,29853,31263,32102,34700,33528,32915,35725,38553,39575,41224,41441,41682,42330,19044,19226,19428,19775,20254,20407,20365,20557,20538,20595,20561,20814,21146,21710,22351,509886,537420,579984,618220,650204,708129,682800,676632,733720,794006,813709,858028,876308,904915,946129
