,,,,,,,,,,,,,,,,,,,,,,
Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
1603,LA,Acadia (Parish),ABITA SPRINGS,70420,1,"$6,191",1,"$6,191",0,1,0,0,0,1,"$3,006",$0,"$2,000","$1,006",1,0,0,0
1603,LA,Acadia (Parish),BARATARIA,70036,1,"$55,392",1,"$55,392",0,0,0,0,1,1,"$25,311","$10,500","$2,000","$12,811",0,0,1,0
1603,LA,Acadia (Parish),BASILE,70515,3,$423,3,"$1,270",2,1,0,0,0,3,"$5,270","$1,270","$4,000",$0,3,0,0,0
1603,LA,Acadia (Parish),BATON ROUGE,70802,2,$647,2,"$1,294",0,2,0,0,0,1,"$5,850",$806,"$4,940",$104,1,0,0,0
1603,LA,Acadia (Parish),BATON ROUGE,70805,1,"$1,685",1,"$1,685",0,1,0,0,0,1,"$1,685","$1,685",$0,$0,1,0,0,0
1603,LA,Acadia (Parish),BATON ROUGE,70814,1,$201,1,$201,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),BATONROUGE,70841,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),BOGALUSA,70427,1,"$2,548",1,"$2,548",0,1,0,0,0,1,$791,$0,$0,$791,1,0,0,0
1603,LA,Acadia (Parish),BRANCH,70516,5,$61,3,$184,2,1,0,0,0,3,"$4,184",$184,"$4,000",$0,3,0,0,0
1603,LA,Acadia (Parish),CHURCH POINT,70525,21,$981,15,"$14,715",8,7,0,0,0,11,"$36,137","$8,032","$16,814","$11,291",10,1,0,0
1603,LA,Acadia (Parish),COVINGTON,70433,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),COVINGTON,70435,1,$803,1,$803,0,1,0,0,0,1,"$2,791",$0,"$2,000",$791,1,0,0,0
1603,LA,Acadia (Parish),CROWLEY,70526,103,$908,73,"$66,272",52,19,2,0,0,39,"$101,188","$17,036","$58,466","$25,687",37,2,0,0
1603,LA,Acadia (Parish),CUTT OFF,70345,1,"$1,455",1,"$1,455",0,1,0,0,0,1,$791,$0,$0,$791,1,0,0,0
1603,LA,Acadia (Parish),DENHAM SPRINGS,70706,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),DENHAM SPRINGS,70726,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),DUSON,70529,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),EGAN,70531,8,"$1,076",8,"$8,610",7,1,0,0,0,2,"$10,520","$5,200","$5,320",$0,2,0,0,0
1603,LA,Acadia (Parish),ESTHERWOOD,70534,10,"$2,946",10,"$29,459",7,2,0,1,0,4,"$13,106","$6,481","$5,234","$1,390",4,0,0,0
1603,LA,Acadia (Parish),EUNICE,70535,6,$0,5,$0,5,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),EVANGELINE,70537,2,$0,2,$0,2,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),FRANKLINTON,70438,1,"$3,645",1,"$3,645",0,1,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),GONZALES,70737,1,$490,1,$490,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),GRAMERCY,70052,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),GREENSBURG,70441,1,$161,1,$161,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),GRETNA,70053,2,"$2,475",2,"$4,951",0,2,0,0,0,2,"$5,363",$533,"$4,000",$831,2,0,0,0
1603,LA,Acadia (Parish),HAMMOND,70104,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),HAMMOND,70403,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
