,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,
disaster,state,mergecell,county,city,zip,valid_registrations,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,disaster_type,county_clean,,,State,County,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
1606,TX,angelina_tx,Angelina ,CORRIGAN,75939,1,2209,1,2209,0,1,0,0,0,1,2209,1889,0,320,1,0,0,0,Hurricane,angelina,,,TX,"Angelina, TX",422059,435034,448495,466869,924894,867072,973580,843033,1837446,1907102,1969940,1967558,3184399,3209208,3392014,3277460,24985,25737,26733,28170,29737,31285,30494,31315,33272,35214,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,Diboll,75941,1,238,1,238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,DIBOLL,74941,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,DIBOLL,75941,748,943,476,449099,107,365,2,0,2,255,378100,74426,175248,128425,253,2,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,GALVESTON,77554,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,HOUSTON,77028,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,HUNINGTON,75901,1,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,HUNINGTON,75949,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,HUNTINGTON,75949,1210,1893,865,1637749,178,672,5,1,9,524,926632,306222,348426,271984,517,7,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
