,year,period,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2000-01-01,2000.0,1.0,41696.0,38168.0,585097.0,639.0,4856570193.0,573037.0,584364.0,597890.0
2000-04-01,2000.0,2.0,41538.0,38138.0,605579.0,639.0,5026634474.0,596595.0,603735.0,616406.0
2000-07-01,2000.0,3.0,41719.0,38324.0,614298.0,649.0,5180529415.0,612226.0,616377.0,614291.0
2000-10-01,2000.0,4.0,41616.0,38297.0,606506.0,741.0,5843663560.0,608063.0,605369.0,606086.0
2001-01-01,2001.0,1.0,41852.0,38499.0,609826.0,667.0,5289511795.0,599204.0,610545.0,619729.0
2001-04-01,2001.0,2.0,42272.0,38763.0,621677.0,668.0,5396071641.0,616383.0,621312.0,627335.0
2001-07-01,2001.0,3.0,42629.0,39045.0,622113.0,670.0,5416724057.0,621836.0,625736.0,618767.0
2001-10-01,2001.0,4.0,42503.0,38932.0,605889.0,757.0,5964533158.0,609814.0,606972.0,600882.0
2002-01-01,2002.0,1.0,42705.0,39235.0,599536.0,683.0,5319432575.0,591788.0,598661.0,608159.0
2002-04-01,2002.0,2.0,42789.0,39200.0,611064.0,678.0,5385291110.0,604886.0,611219.0,617087.0
2002-07-01,2002.0,3.0,42734.0,39094.0,611812.0,674.0,5359827482.0,611542.0,615142.0,608751.0
2002-10-01,2002.0,4.0,42686.0,39115.0,595783.0,760.0,5888702183.0,600893.0,596057.0,590399.0
2003-01-01,2003.0,1.0,42571.0,39082.0,581212.0,683.0,5157455941.0,579119.0,580980.0,583538.0
2003-04-01,2003.0,2.0,42425.0,38947.0,589860.0,690.0,5290245412.0,584563.0,591538.0,593478.0
2003-07-01,2003.0,3.0,42577.0,39108.0,590034.0,689.0,5283168889.0,589170.0,591853.0,589078.0
2003-10-01,2003.0,4.0,41851.0,38545.0,576467.0,794.0,5952731231.0,582374.0,573783.0,573245.0
2004-01-01,2004.0,1.0,42855.0,39549.0,570192.0,696.0,5160953261.0,567129.0,568365.0,575081.0
2004-04-01,2004.0,2.0,42746.0,39426.0,578648.0,708.0,5324067356.0,576755.0,576508.0,582680.0
2004-07-01,2004.0,3.0,42871.0,39592.0,583394.0,719.0,5455791228.0,583654.0,584163.0,582364.0
2004-10-01,2004.0,4.0,42804.0,39518.0,580277.0,810.0,6108852883.0,581965.0,579005.0,579861.0
2005-01-01,2005.0,1.0,43115.0,39830.0,580548.0,722.0,5448522453.0,573792.0,579024.0,588827.0
2005-04-01,2005.0,2.0,42988.0,39631.0,601699.0,744.0,5816714864.0,598894.0,600248.0,605954.0
2005-07-01,2005.0,3.0,43476.0,40051.0,609301.0,765.0,6058278130.0,607376.0,608530.0,611996.0
2005-10-01,2005.0,4.0,43342.0,40013.0,612693.0,860.0,6850048590.0,610887.0,611965.0,615228.0
2006-01-01,2006.0,1.0,43872.0,40526.0,622232.0,819.0,6623987310.0,611173.0,621282.0,634242.0
2006-04-01,2006.0,2.0,43902.0,40533.0,640442.0,808.0,6730302132.0,630969.0,638886.0,651472.0
2006-07-01,2006.0,3.0,43896.0,40524.0,649372.0,811.0,6844702572.0,645808.0,649720.0,652587.0
2006-10-01,2006.0,4.0,43994.0,40593.0,652822.0,947.0,8038808453.0,651376.0,652460.0,654630.0
2007-01-01,2007.0,1.0,46757.0,43292.0,657385.0,862.0,7365057006.0,644204.0,657388.0,670563.0
2007-04-01,2007.0,2.0,46999.0,43496.0,682604.0,852.0,7563563621.0,673056.0,680400.0,694357.0
2007-07-01,2007.0,3.0,47476.0,43952.0,691416.0,849.0,7629073451.0,687532.0,693649.0,693066.0
2007-10-01,2007.0,4.0,47596.0,44077.0,699815.0,986.0,8971100743.0,698462.0,701722.0,699262.0
2008-01-01,2008.0,1.0,46102.0,42514.0,699053.0,904.0,8211908025.0,688466.0,701832.0,706861.0
2008-04-01,2008.0,2.0,46275.0,42563.0,713134.0,900.0,8341061909.0,709665.0,713723.0,716014.0
2008-07-01,2008.0,3.0,46455.0,42820.0,712324.0,889.0,8228486856.0,712150.0,715236.0,709585.0
2008-10-01,2008.0,4.0,46339.0,42741.0,704017.0,1042.0,9532467450.0,713556.0,704771.0,693725.0
2009-01-01,2009.0,1.0,45955.0,42424.0,661553.0,902.0,7755812342.0,668195.0,661949.0,654516.0
2009-04-01,2009.0,2.0,45569.0,42066.0,638709.0,893.0,7416107233.0,641208.0,638110.0,636808.0
2009-07-01,2009.0,3.0,45397.0,41958.0,624193.0,898.0,7283382119.0,630521.0,625776.0,616281.0
2009-10-01,2009.0,4.0,44931.0,41543.0,603935.0,1043.0,8186823885.0,610214.0,602989.0,598602.0
2010-01-01,2010.0,1.0,44676.0,41334.0,589375.0,883.0,6765700758.0,588224.0,585871.0,594029.0
2010-04-01,2010.0,2.0,44285.0,41005.0,597860.0,903.0,7021337003.0,595903.0,597053.0,600625.0
2010-07-01,2010.0,3.0,44143.0,40879.0,604529.0,914.0,7182848083.0,604692.0,606060.0,602835.0
2010-10-01,2010.0,4.0,43955.0,40724.0,596394.0,1054.0,8172902465.0,602114.0,595108.0,591959.0
2011-01-01,2011.0,1.0,43777.0,40563.0,581170.0,919.0,6943925427.0,574494.0,580367.0,588650.0
2011-04-01,2011.0,2.0,43591.0,40369.0,594150.0,930.0,7179480448.0,590592.0,592092.0,599767.0
2011-07-01,2011.0,3.0,43619.0,40405.0,606695.0,984.0,7761884320.0,604101.0,607252.0,608731.0
2011-10-01,2011.0,4.0,43612.0,40405.0,601360.0,1049.0,8201185546.0,604449.0,601452.0,598178.0
2012-01-01,2012.0,1.0,43811.0,40585.0,595505.0,1011.0,7830237635.0,587562.0,595146.0,603808.0
2012-04-01,2012.0,2.0,43550.0,40371.0,614809.0,984.0,7866836626.0,607483.0,615414.0,621529.0
2012-07-01,2012.0,3.0,43592.0,40449.0,623396.0,992.0,8039941945.0,617605.0,626526.0,626056.0
2012-10-01,2012.0,4.0,43704.0,40547.0,628721.0,1140.0,9317062415.0,631962.0,629332.0,624868.0
2013-01-01,2013.0,1.0,43787.0,40691.0,626857.0,1043.0,8502041645.0,613613.0,629672.0,637285.0
2013-04-01,2013.0,2.0,44123.0,41020.0,643777.0,1024.0,8569702410.0,638540.0,642776.0,650014.0
2013-07-01,2013.0,3.0,44402.0,41313.0,652893.0,1028.0,8721043425.0,649601.0,655493.0,653585.0
2013-10-01,2013.0,4.0,44570.0,41486.0,653657.0,1150.0,9773477551.0,655026.0,654958.0,650987.0
2014-01-01,2014.0,1.0,44862.0,41839.0,655141.0,1084.0,9232744744.0,645709.0,656390.0,663325.0
2014-04-01,2014.0,2.0,44951.0,41930.0,680404.0,1068.0,9447321625.0,673468.0,681956.0,685787.0
2014-07-01,2014.0,3.0,45275.0,42266.0,693776.0,1076.0,9700882520.0,689179.0,695733.0,696416.0
2014-10-01,2014.0,4.0,45555.0,42573.0,701429.0,1234.0,11253217281.0,702327.0,700937.0,701023.0
2015-01-01,2015.0,1.0,45944.0,42924.0,700622.0,1101.0,10031740547.0,693203.0,704445.0,704217.0
2015-04-01,2015.0,2.0,46366.0,43345.0,711803.0,1093.0,10116585742.0,705529.0,711379.0,718501.0
2015-07-01,2015.0,3.0,46724.0,43689.0,722581.0,1128.0,10600139433.0,722027.0,724366.0,721351.0
2015-10-01,2015.0,4.0,46838.0,43775.0,722017.0,1290.0,12111040370.0,727165.0,720642.0,718244.0
2016-01-01,2016.0,1.0,47552.0,44525.0,717780.0,1119.0,10442084378.0,712721.0,720837.0,719782.0
2016-04-01,2016.0,2.0,47924.0,44880.0,732370.0,1120.0,10660724364.0,731213.0,731417.0,734481.0
2016-07-01,2016.0,3.0,48381.0,45313.0,737119.0,1192.0,11419338384.0,737080.0,736039.0,738238.0
2016-10-01,2016.0,4.0,48598.0,45523.0,732941.0,1275.0,12150826584.0,740055.0,731998.0,726770.0
2017-01-01,2017.0,1.0,49425.0,46320.0,726726.0,1199.0,11329299477.0,716669.0,727932.0,735577.0
2017-04-01,2017.0,2.0,49803.0,46652.0,742199.0,1164.0,11229158186.0,734447.0,742659.0,749490.0
2017-07-01,2017.0,3.0,50093.0,46914.0,742251.0,1153.0,11129615816.0,742432.0,742403.0,741917.0
2017-10-01,2017.0,4.0,50697.0,47420.0,750494.0,1307.0,12748834117.0,750749.0,751606.0,749128.0
2018-01-01,2018.0,1.0,51404.0,48044.0,751085.0,1237.0,12075614026.0,739192.0,753905.0,760159.0
2018-04-01,2018.0,2.0,51861.0,48423.0,771313.0,1203.0,12066325351.0,764268.0,770518.0,779154.0
2018-07-01,2018.0,3.0,51965.0,48507.0,775528.0,1205.0,12146000471.0,773088.0,779232.0,774263.0
