,year,period,county,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2001-01-01,2001.0,1.0,jefferson,440.0,430.0,15035.0,587.0,114754445.0,14557.0,15247.0,15300.0
2001-01-01,2001.0,1.0,harris,6270.0,5868.0,145666.0,788.0,1491278745.0,142499.0,146466.0,148032.0
2001-01-01,2001.0,1.0,orange,140.0,137.0,2184.0,645.0,18326610.0,2241.0,2138.0,2174.0
2001-01-01,2001.0,1.0,hardin,100.0,99.0,2581.0,540.0,18107304.0,2072.0,2794.0,2877.0
2001-04-01,2001.0,2.0,orange,142.0,139.0,2020.0,652.0,17129792.0,2040.0,1966.0,2053.0
2001-04-01,2001.0,2.0,jefferson,439.0,427.0,12808.0,561.0,93425743.0,13297.0,12658.0,12468.0
2001-04-01,2001.0,2.0,hardin,105.0,100.0,1717.0,619.0,13808579.0,1724.0,1726.0,1700.0
2001-04-01,2001.0,2.0,harris,6338.0,5897.0,150689.0,771.0,1510435872.0,151315.0,151359.0,149392.0
2001-07-01,2001.0,3.0,harris,6374.0,5935.0,148013.0,774.0,1488860810.0,147213.0,148463.0,148363.0
2001-07-01,2001.0,3.0,hardin,107.0,102.0,1717.0,639.0,14264929.0,1646.0,1687.0,1817.0
2001-07-01,2001.0,3.0,orange,142.0,139.0,1977.0,647.0,16628815.0,1984.0,1969.0,1977.0
2001-07-01,2001.0,3.0,jefferson,440.0,428.0,12430.0,657.0,106212009.0,12403.0,12593.0,12294.0
2001-10-01,2001.0,4.0,hardin,103.0,99.0,1679.0,625.0,13648810.0,1859.0,1622.0,1556.0
2001-10-01,2001.0,4.0,harris,6328.0,5908.0,147091.0,874.0,1672006578.0,147967.0,148006.0,145301.0
2001-10-01,2001.0,4.0,jefferson,439.0,427.0,12032.0,717.0,112172314.0,11789.0,12066.0,12242.0
2001-10-01,2001.0,4.0,orange,143.0,140.0,1916.0,663.0,16521088.0,2026.0,1908.0,1815.0
2002-01-01,2002.0,1.0,harris,6444.0,6035.0,148324.0,804.0,1550642335.0,145790.0,148755.0,150426.0
2002-01-01,2002.0,1.0,hardin,97.0,96.0,1457.0,646.0,12241017.0,1473.0,1414.0,1485.0
2002-01-01,2002.0,1.0,orange,144.0,143.0,1721.0,692.0,15487515.0,1667.0,1763.0,1732.0
2002-01-01,2002.0,1.0,jefferson,442.0,430.0,13030.0,665.0,112659922.0,12725.0,13060.0,13305.0
2002-04-01,2002.0,2.0,jefferson,445.0,433.0,12185.0,663.0,104964673.0,12613.0,12202.0,11741.0
2002-04-01,2002.0,2.0,harris,6473.0,6034.0,149726.0,785.0,1528605153.0,149062.0,150262.0,149854.0
2002-04-01,2002.0,2.0,orange,145.0,144.0,1815.0,733.0,17296183.0,1778.0,1831.0,1837.0
2002-04-01,2002.0,2.0,hardin,99.0,96.0,1499.0,645.0,12566716.0,1510.0,1480.0,1508.0
2002-07-01,2002.0,3.0,hardin,97.0,94.0,1719.0,633.0,14147995.0,1605.0,1772.0,1780.0
2002-07-01,2002.0,3.0,jefferson,445.0,435.0,11430.0,658.0,97798838.0,11269.0,11459.0,11562.0
2002-07-01,2002.0,3.0,orange,142.0,141.0,1860.0,651.0,15747978.0,1833.0,1879.0,1867.0
2002-07-01,2002.0,3.0,harris,6500.0,6042.0,148982.0,780.0,1510346818.0,148086.0,149461.0,149400.0
2002-10-01,2002.0,4.0,hardin,95.0,93.0,1526.0,649.0,12869677.0,1607.0,1479.0,1491.0
2002-10-01,2002.0,4.0,orange,140.0,139.0,1966.0,690.0,17636210.0,1898.0,1975.0,2025.0
2002-10-01,2002.0,4.0,jefferson,445.0,435.0,11573.0,705.0,106087330.0,11592.0,11571.0,11557.0
2002-10-01,2002.0,4.0,harris,6498.0,6047.0,148119.0,883.0,1700359726.0,150283.0,148031.0,146043.0
2003-01-01,2003.0,1.0,orange,143.0,142.0,1946.0,629.0,15925089.0,1938.0,1944.0,1957.0
2003-01-01,2003.0,1.0,jefferson,443.0,427.0,11615.0,694.0,104797621.0,11512.0,11651.0,11683.0
2003-01-01,2003.0,1.0,hardin,101.0,99.0,1479.0,638.0,12266330.0,1510.0,1515.0,1411.0
2003-01-01,2003.0,1.0,harris,6434.0,6002.0,146445.0,799.0,1521975003.0,145658.0,146723.0,146954.0
2003-04-01,2003.0,2.0,hardin,98.0,96.0,1601.0,668.0,13895633.0,1508.0,1652.0,1644.0
2003-04-01,2003.0,2.0,orange,151.0,149.0,2165.0,706.0,19879508.0,2035.0,2152.0,2308.0
2003-04-01,2003.0,2.0,jefferson,438.0,422.0,11942.0,699.0,108564091.0,11915.0,12411.0,11501.0
2003-04-01,2003.0,2.0,harris,6438.0,5997.0,146402.0,786.0,1495778436.0,145722.0,147111.0,146373.0
2003-07-01,2003.0,3.0,jefferson,439.0,423.0,12214.0,723.0,114721130.0,11761.0,12354.0,12526.0
2003-07-01,2003.0,3.0,hardin,102.0,100.0,1611.0,652.0,13660336.0,1706.0,1621.0,1507.0
2003-07-01,2003.0,3.0,orange,148.0,146.0,2088.0,592.0,16053277.0,2196.0,2095.0,1972.0
2003-07-01,2003.0,3.0,harris,6471.0,6043.0,143866.0,788.0,1474320553.0,143181.0,143719.0,144699.0
2003-10-01,2003.0,4.0,orange,143.0,141.0,1878.0,559.0,13638511.0,1871.0,1872.0,1891.0
2003-10-01,2003.0,4.0,harris,6363.0,5952.0,141193.0,912.0,1673372269.0,144314.0,139913.0,139353.0
2003-10-01,2003.0,4.0,hardin,99.0,97.0,1497.0,700.0,13616451.0,1512.0,1497.0,1481.0
2003-10-01,2003.0,4.0,jefferson,426.0,414.0,11925.0,782.0,121195029.0,12254.0,11833.0,11688.0
2004-01-01,2004.0,1.0,hardin,97.0,95.0,1575.0,619.0,12664798.0,1570.0,1465.0,1689.0
2004-01-01,2004.0,1.0,jefferson,432.0,424.0,11612.0,732.0,110441198.0,11610.0,11616.0,11610.0
2004-01-01,2004.0,1.0,orange,139.0,138.0,1773.0,549.0,12657826.0,1742.0,1717.0,1860.0
2004-01-01,2004.0,1.0,harris,6445.0,6028.0,138217.0,826.0,1484466818.0,137864.0,138220.0,138567.0
2004-04-01,2004.0,2.0,harris,6395.0,5989.0,136841.0,826.0,1469933435.0,138254.0,136068.0,136201.0
2004-04-01,2004.0,2.0,hardin,95.0,93.0,1672.0,652.0,14172525.0,1744.0,1675.0,1598.0
2004-04-01,2004.0,2.0,orange,132.0,131.0,1703.0,593.0,13128341.0,1651.0,1681.0,1776.0
2004-04-01,2004.0,2.0,jefferson,425.0,418.0,10129.0,682.0,89822742.0,10198.0,10061.0,10127.0
2004-07-01,2004.0,3.0,jefferson,419.0,412.0,10024.0,727.0,94680054.0,10035.0,10068.0,9968.0
2004-07-01,2004.0,3.0,harris,6408.0,5988.0,134514.0,836.0,1461226927.0,134333.0,134624.0,134585.0
2004-07-01,2004.0,3.0,hardin,96.0,94.0,1500.0,705.0,13745517.0,1467.0,1489.0,1545.0
2004-07-01,2004.0,3.0,orange,134.0,133.0,1745.0,595.0,13504439.0,1754.0,1725.0,1756.0
2004-10-01,2004.0,4.0,jefferson,423.0,416.0,9986.0,782.0,101515927.0,10008.0,9942.0,10008.0
2004-10-01,2004.0,4.0,harris,6382.0,5970.0,136885.0,929.0,1653869490.0,136926.0,136590.0,137139.0
2004-10-01,2004.0,4.0,orange,133.0,132.0,1819.0,632.0,14943327.0,1759.0,1823.0,1874.0
2004-10-01,2004.0,4.0,hardin,99.0,97.0,1455.0,710.0,13420876.0,1506.0,1417.0,1441.0
2005-01-01,2005.0,1.0,jefferson,419.0,411.0,10474.0,753.0,102489254.0,10142.0,10529.0,10752.0
2005-01-01,2005.0,1.0,hardin,99.0,98.0,1449.0,700.0,13190097.0,1467.0,1443.0,1437.0
2005-01-01,2005.0,1.0,orange,131.0,130.0,1397.0,565.0,10266807.0,1386.0,1388.0,1417.0
2005-01-01,2005.0,1.0,harris,6302.0,5876.0,134456.0,832.0,1453665734.0,133182.0,134058.0,136129.0
2005-04-01,2005.0,2.0,hardin,95.0,94.0,1538.0,706.0,14113509.0,1429.0,1530.0,1655.0
2005-04-01,2005.0,2.0,orange,133.0,132.0,1490.0,597.0,11570391.0,1481.0,1447.0,1541.0
2005-04-01,2005.0,2.0,jefferson,414.0,406.0,10645.0,737.0,101998891.0,10644.0,10645.0,10647.0
2005-04-01,2005.0,2.0,harris,6264.0,5836.0,135943.0,843.0,1490361482.0,137133.0,135439.0,135258.0
2005-07-01,2005.0,3.0,harris,6354.0,5928.0,136399.0,858.0,1521871322.0,135161.0,136413.0,137623.0
2005-07-01,2005.0,3.0,orange,136.0,135.0,1421.0,577.0,10650454.0,1427.0,1399.0,1437.0
2005-07-01,2005.0,3.0,hardin,95.0,94.0,1683.0,738.0,16133845.0,1640.0,1684.0,1724.0
2005-07-01,2005.0,3.0,jefferson,418.0,410.0,11037.0,737.0,105796054.0,10871.0,10951.0,11290.0
2005-10-01,2005.0,4.0,jefferson,422.0,414.0,12445.0,866.0,140074476.0,12060.0,12550.0,12725.0
2005-10-01,2005.0,4.0,hardin,97.0,96.0,1756.0,911.0,20794705.0,1724.0,1788.0,1757.0
2005-10-01,2005.0,4.0,orange,134.0,133.0,1372.0,700.0,12476871.0,1439.0,1305.0,1372.0
2005-10-01,2005.0,4.0,harris,6349.0,5930.0,139145.0,966.0,1746504141.0,138168.0,138956.0,140310.0
2006-01-01,2006.0,1.0,harris,6373.0,5960.0,142220.0,939.0,1736709239.0,138414.0,142159.0,146087.0
2006-01-01,2006.0,1.0,hardin,102.0,101.0,1706.0,783.0,17360751.0,1687.0,1708.0,1723.0
2006-01-01,2006.0,1.0,orange,133.0,130.0,1418.0,646.0,11909374.0,1380.0,1458.0,1417.0
2006-01-01,2006.0,1.0,jefferson,426.0,418.0,12646.0,839.0,137936806.0,12343.0,12705.0,12891.0
2006-04-01,2006.0,2.0,hardin,108.0,107.0,1872.0,814.0,19815614.0,1837.0,1809.0,1971.0
2006-04-01,2006.0,2.0,orange,131.0,128.0,1728.0,696.0,15638318.0,1645.0,1792.0,1748.0
2006-04-01,2006.0,2.0,jefferson,429.0,420.0,11996.0,853.0,133063131.0,12000.0,12203.0,11784.0
2006-04-01,2006.0,2.0,harris,6362.0,5942.0,144339.0,906.0,1699866729.0,142516.0,144228.0,146273.0
2006-07-01,2006.0,3.0,hardin,106.0,105.0,1944.0,844.0,21329290.0,1784.0,1965.0,2082.0
2006-07-01,2006.0,3.0,jefferson,426.0,417.0,12041.0,925.0,144787331.0,11870.0,12057.0,12196.0
2006-07-01,2006.0,3.0,orange,134.0,131.0,1564.0,794.0,16137589.0,1601.0,1569.0,1522.0
2006-07-01,2006.0,3.0,harris,6379.0,5935.0,145947.0,906.0,1719648895.0,145008.0,145521.0,147313.0
2006-10-01,2006.0,4.0,jefferson,421.0,411.0,12178.0,1008.0,159517468.0,12054.0,12270.0,12210.0
2006-10-01,2006.0,4.0,hardin,107.0,106.0,1913.0,978.0,24325501.0,2066.0,1987.0,1686.0
2006-10-01,2006.0,4.0,orange,136.0,133.0,1451.0,763.0,14395239.0,1466.0,1429.0,1459.0
2006-10-01,2006.0,4.0,harris,6416.0,5955.0,148736.0,1085.0,2097497867.0,148404.0,148948.0,148857.0
2007-01-01,2007.0,1.0,orange,139.0,136.0,1416.0,739.0,13608099.0,1354.0,1447.0,1446.0
