county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
aransas,69488.619833,5746,42008042,689,4034,549,161,313,4848,23539078,15731322,4237186,3570570,4172,442,234,145,66852,67706,69293,73815,143523,142991,156343,125833,318404,347062,346736,365020,528779,557760,572373,564667,25659,27534,29574,31858,33884,35826,35188,37509,40338,44309,45257,46502,47251,43825,44820,22843,23067,23561,23395,23172,23225,23291,23181,23228,23462,23897,24581,24834,25275,25572,586137,635120,696800,745324,785170,832049,819564,869502,936968,1039579,1081516,1143055,1173424,1107668,1146138
austin,48558.781078,454,2251709,206,175,40,10,23,246,1034574,736081,156880,141613,217,17,12,6,113733,102449,94954,99265,375421,411966,380073,480555,581642,624570,675268,725332,1070796,1138985,1150295,1305153,29725,30682,33580,37452,39482,42626,39004,39332,41248,46698,46055,49177,50887,49060,49262,25388,25976,26331,26828,27454,27935,28254,28357,28570,28516,28651,28940,29447,29637,29786,754668,796999,884192,1004767,1083946,1190771,1102030,1115335,1178450,1331630,1319531,1423173,1498477,1453991,1467332
bastrop,15753.1778094,476,977022,170,276,25,4,1,230,686537,414863,153200,118472,211,18,1,0,272511,282574,286156,303580,399297,415160,404167,411505,955046,991872,1089742,1153361,1626854,1689605,1780065,1868447,23350,23635,24928,25979,27334,28398,27939,28666,29286,30466,30694,31987,33588,33761,34969,65825,67122,68233,69720,71348,72389,73587,74317,75090,74799,75896,77919,80198,82754,84761,1537019,1586445,1700932,1811263,1950212,2055732,2055963,2130395,2199078,2278804,2329554,2492357,2693653,2793868,2964012
bee,15532.271573299999,1062,859504,289,768,4,1,0,417,713241,376357,165246,171637,409,7,1,0,206296,211709,213550,224904,309659,347507,323931,167817,341948,357801,381077,400421,857903,917018,918558,793142,16829,17520,19022,19994,20989,25309,22896,25352,25448,27879,29140,29971,27684,26419,27078,32620,32352,32101,31977,31936,31814,31864,31863,32312,32474,32803,32837,32609,32835,32563,548977,566804,610632,639349,670297,805171,729546,807792,822267,905358,955886,984145,902742,867470,881725
brazoria,278152.16220859997,15191,104941894,5341,5321,2747,1234,546,12530,65254466,42477714,12660001,10116754,10060,1932,538,187,1162590,1222216,1269836,1413372,6521098,7244089,7580320,7645021,4839883,5026441,5155352,5200077,12523572,13492746,14005507,14258470,28489,28765,30716,33282,36096,37806,36222,36931,38904,40735,41752,44389,45577,45744,45925,261269,268051,274336,284248,293296,301336,309236,314453,319274,324433,330170,337782,345738,353828,362457,7443391,7710520,8426440,9460430,10586687,11392290,11201191,11613156,12421025,13215799,13785281,14993764,15757592,16185669,16645867
caldwell,21901.4694847,164,316856,55,99,8,2,0,60,282150,177230,64280,40641,51,8,1,0,106688,113711,112988,119368,256061,257396,240085,206594,350473,371567,429859,407698,713222,742674,782933,733661,21112,21268,22562,23208,24250,25315,25182,26619,28897,29537,29074,30129,31416,31849,32889,35330,36200,36388,36533,36906,37671,37829,38128,38422,38684,39205,39693,40377,41108,42338,745890,769893,820996,847854,894956,953659,952605,1014943,1110273,1142626,1139850,1195924,1268467,1309255,1392457
calhoun,28868.1325648,2383,4204607,476,1838,53,4,12,1930,3893648,1955236,889974,1048440,1870,50,10,4,89403,94022,96691,103188,1212943,1305811,1294578,1314194,574832,588336,580604,589474,1877178,1988169,1971873,2006857,22395,21878,23577,25141,27901,31189,28065,29919,33278,34422,37422,36853,37011,35824,36587,20575,20692,20715,20839,20888,21127,21388,21311,21356,21575,21735,21805,21881,21942,21744,460776,452704,488394,523904,582804,658928,600252,637600,710684,742664,813372,803584,809845,786061,795537
chambers,183240.58522399998,3570,30335886,790,1432,857,330,161,2559,23549656,17464631,3860721,2224304,1514,844,201,89,131949,140841,148775,160148,614388,674247,563648,613853,1323564,1136758,1149205,1306884,2069901,1951847,1861629,2080885,27827,29588,30615,32897,35067,38081,36955,39184,42563,44651,46484,48965,51036,51462,51832,28021,28749,29388,29980,30714,31619,34230,35445,35683,36489,37350,38283,39059,40283,41441,779743,850620,899723,986242,1077049,1204093,1264957,1388885,1518775,1629270,1736162,1874533,1993426,2073025,2147981
colorado,44158.2969068,403,1603072,129,205,54,10,5,222,1158233,763814,144843,249577,173,41,8,2,65665,67143,68064,72785,260004,285679,289571,300472,306359,338979,357041,371099,632028,691801,714675,744355,26307,27791,28623,30575,33298,35580,35738,36313,40194,39835,41222,43202,43720,43175,44836,20507,20450,20493,20608,20648,20818,20784,20870,20785,20698,20708,20687,20910,21027,21232,539473,568321,586564,630097,687527,740699,742776,757851,835431,824509,853623,893714,914190,907850,951966
dewi,7965.668490399999,722,1097878,221,483,15,2,1,279,644071,405557,107774,130740,266,12,1,0,126948,133461,140135,150723,247405,308288,392271,357415,345705,372370,418868,466976,720059,814118,951273,975114,22960,22726,24418,25377,27873,30504,29623,32450,36709,42525,46641,54880,57053,50149,51896,20034,20176,20342,20108,19961,19902,20048,20055,20202,20365,20382,20516,20630,20618,20226,459974,458525,496715,510281,556373,607090,593884,650792,741592,866030,950647,1125919,1177000,1033964,1049645
