Year,Period,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment
2000,01,"41,696","38,168","585,097",639,"4,856,570,193","573,037","584,364","597,890"
2000,02,"41,538","38,138","605,579",639,"5,026,634,474","596,595","603,735","616,406"
2000,03,"41,719","38,324","614,298",649,"5,180,529,415","612,226","616,377","614,291"
2000,04,"41,616","38,297","606,506",741,"5,843,663,560","608,063","605,369","606,086"
2001,01,"41,852","38,499","609,826",667,"5,289,511,795","599,204","610,545","619,729"
2001,02,"42,272","38,763","621,677",668,"5,396,071,641","616,383","621,312","627,335"
2001,03,"42,629","39,045","622,113",670,"5,416,724,057","621,836","625,736","618,767"
2001,04,"42,503","38,932","605,889",757,"5,964,533,158","609,814","606,972","600,882"
2002,01,"42,705","39,235","599,536",683,"5,319,432,575","591,788","598,661","608,159"
2002,02,"42,789","39,200","611,064",678,"5,385,291,110","604,886","611,219","617,087"
2002,03,"42,734","39,094","611,812",674,"5,359,827,482","611,542","615,142","608,751"
2002,04,"42,686","39,115","595,783",760,"5,888,702,183","600,893","596,057","590,399"
2003,01,"42,571","39,082","581,212",683,"5,157,455,941","579,119","580,980","583,538"
2003,02,"42,425","38,947","589,860",690,"5,290,245,412","584,563","591,538","593,478"
2003,03,"42,577","39,108","590,034",689,"5,283,168,889","589,170","591,853","589,078"
2003,04,"41,851","38,545","576,467",794,"5,952,731,231","582,374","573,783","573,245"
2004,01,"42,855","39,549","570,192",696,"5,160,953,261","567,129","568,365","575,081"
2004,02,"42,746","39,426","578,648",708,"5,324,067,356","576,755","576,508","582,680"
2004,03,"42,871","39,592","583,394",719,"5,455,791,228","583,654","584,163","582,364"
2004,04,"42,804","39,518","580,277",810,"6,108,852,883","581,965","579,005","579,861"
2005,01,"43,115","39,830","580,548",722,"5,448,522,453","573,792","579,024","588,827"
2005,02,"42,988","39,631","601,699",744,"5,816,714,864","598,894","600,248","605,954"
2005,03,"43,476","40,051","609,301",765,"6,058,278,130","607,376","608,530","611,996"
2005,04,"43,342","40,013","612,693",860,"6,850,048,590","610,887","611,965","615,228"
2006,01,"43,872","40,526","622,232",819,"6,623,987,310","611,173","621,282","634,242"
2006,02,"43,902","40,533","640,442",808,"6,730,302,132","630,969","638,886","651,472"
2006,03,"43,896","40,524","649,372",811,"6,844,702,572","645,808","649,720","652,587"
2006,04,"43,994","40,593","652,822",947,"8,038,808,453","651,376","652,460","654,630"
2007,01,"46,757","43,292","657,385",862,"7,365,057,006","644,204","657,388","670,563"
2007,02,"46,999","43,496","682,604",852,"7,563,563,621","673,056","680,400","694,357"
2007,03,"47,476","43,952","691,416",849,"7,629,073,451","687,532","693,649","693,066"
2007,04,"47,596","44,077","699,815",986,"8,971,100,743","698,462","701,722","699,262"
2008,01,"46,102","42,514","699,053",904,"8,211,908,025","688,466","701,832","706,861"
2008,02,"46,275","42,563","713,134",900,"8,341,061,909","709,665","713,723","716,014"
2008,03,"46,455","42,820","712,324",889,"8,228,486,856","712,150","715,236","709,585"
2008,04,"46,339","42,741","704,017","1,042","9,532,467,450","713,556","704,771","693,725"
2009,01,"45,955","42,424","661,553",902,"7,755,812,342","668,195","661,949","654,516"
2009,02,"45,569","42,066","638,709",893,"7,416,107,233","641,208","638,110","636,808"
2009,03,"45,397","41,958","624,193",898,"7,283,382,119","630,521","625,776","616,281"
2009,04,"44,931","41,543","603,935","1,043","8,186,823,885","610,214","602,989","598,602"
2010,01,"44,676","41,334","589,375",883,"6,765,700,758","588,224","585,871","594,029"
2010,02,"44,285","41,005","597,860",903,"7,021,337,003","595,903","597,053","600,625"
2010,03,"44,143","40,879","604,529",914,"7,182,848,083","604,692","606,060","602,835"
2010,04,"43,955","40,724","596,394","1,054","8,172,902,465","602,114","595,108","591,959"
2011,01,"43,777","40,563","581,170",919,"6,943,925,427","574,494","580,367","588,650"
2011,02,"43,591","40,369","594,150",930,"7,179,480,448","590,592","592,092","599,767"
2011,03,"43,619","40,405","606,695",984,"7,761,884,320","604,101","607,252","608,731"
2011,04,"43,612","40,405","601,360","1,049","8,201,185,546","604,449","601,452","598,178"
2012,01,"43,811","40,585","595,505","1,011","7,830,237,635","587,562","595,146","603,808"
2012,02,"43,550","40,371","614,809",984,"7,866,836,626","607,483","615,414","621,529"
2012,03,"43,592","40,449","623,396",992,"8,039,941,945","617,605","626,526","626,056"
2012,04,"43,704","40,547","628,721","1,140","9,317,062,415","631,962","629,332","624,868"
2013,01,"43,787","40,691","626,857","1,043","8,502,041,645","613,613","629,672","637,285"
2013,02,"44,123","41,020","643,777","1,024","8,569,702,410","638,540","642,776","650,014"
2013,03,"44,402","41,313","652,893","1,028","8,721,043,425","649,601","655,493","653,585"
2013,04,"44,570","41,486","653,657","1,150","9,773,477,551","655,026","654,958","650,987"
