Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2001,01,Jefferson,Total All,23,Construction,2,440,430,"15,035",587,"114,754,445","14,557","15,247","15,300",193
2001,01,Harris,Total All,23,Construction,2,"6,270","5,868","145,666",788,"1,491,278,745","142,499","146,466","148,032",193
2001,01,Orange,Total All,23,Construction,2,140,137,"2,184",645,"18,326,610","2,241","2,138","2,174",193
2001,01,Hardin,Total All,23,Construction,2,100,99,"2,581",540,"18,107,304","2,072","2,794","2,877",193
2001,02,Orange,Total All,23,Construction,2,142,139,"2,020",652,"17,129,792","2,040","1,966","2,053",193
2001,02,Jefferson,Total All,23,Construction,2,439,427,"12,808",561,"93,425,743","13,297","12,658","12,468",193
2001,02,Hardin,Total All,23,Construction,2,105,100,"1,717",619,"13,808,579","1,724","1,726","1,700",193
2001,02,Harris,Total All,23,Construction,2,"6,338","5,897","150,689",771,"1,510,435,872","151,315","151,359","149,392",193
2001,03,Harris,Total All,23,Construction,2,"6,374","5,935","148,013",774,"1,488,860,810","147,213","148,463","148,363",193
2001,03,Hardin,Total All,23,Construction,2,107,102,"1,717",639,"14,264,929","1,646","1,687","1,817",193
2001,03,Orange,Total All,23,Construction,2,142,139,"1,977",647,"16,628,815","1,984","1,969","1,977",193
2001,03,Jefferson,Total All,23,Construction,2,440,428,"12,430",657,"106,212,009","12,403","12,593","12,294",193
2001,04,Hardin,Total All,23,Construction,2,103,99,"1,679",625,"13,648,810","1,859","1,622","1,556",193
2001,04,Harris,Total All,23,Construction,2,"6,328","5,908","147,091",874,"1,672,006,578","147,967","148,006","145,301",193
2001,04,Jefferson,Total All,23,Construction,2,439,427,"12,032",717,"112,172,314","11,789","12,066","12,242",193
2001,04,Orange,Total All,23,Construction,2,143,140,"1,916",663,"16,521,088","2,026","1,908","1,815",193
2002,01,Harris,Total All,23,Construction,2,"6,444","6,035","148,324",804,"1,550,642,335","145,790","148,755","150,426",193
2002,01,Hardin,Total All,23,Construction,2,97,96,"1,457",646,"12,241,017","1,473","1,414","1,485",193
2002,01,Orange,Total All,23,Construction,2,144,143,"1,721",692,"15,487,515","1,667","1,763","1,732",193
2002,01,Jefferson,Total All,23,Construction,2,442,430,"13,030",665,"112,659,922","12,725","13,060","13,305",193
2002,02,Jefferson,Total All,23,Construction,2,445,433,"12,185",663,"104,964,673","12,613","12,202","11,741",193
2002,02,Harris,Total All,23,Construction,2,"6,473","6,034","149,726",785,"1,528,605,153","149,062","150,262","149,854",193
2002,02,Orange,Total All,23,Construction,2,145,144,"1,815",733,"17,296,183","1,778","1,831","1,837",193
2002,02,Hardin,Total All,23,Construction,2,99,96,"1,499",645,"12,566,716","1,510","1,480","1,508",193
2002,03,Hardin,Total All,23,Construction,2,97,94,"1,719",633,"14,147,995","1,605","1,772","1,780",193
2002,03,Jefferson,Total All,23,Construction,2,445,435,"11,430",658,"97,798,838","11,269","11,459","11,562",193
2002,03,Orange,Total All,23,Construction,2,142,141,"1,860",651,"15,747,978","1,833","1,879","1,867",193
2002,03,Harris,Total All,23,Construction,2,"6,500","6,042","148,982",780,"1,510,346,818","148,086","149,461","149,400",193
