county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
angelina,15763.0,4728,6563627,1262,3418,19,3,26,2740,4503254,1255249,1944055,1303951,2713,26,1,1,422059,435034,448495,466869,924894,867072,973580,843033,1837446,1907102,1969940,1967558,3184399,3209208,3392014,3277460,24985,25737,26733,28170,29737,31285,30494,31315,33272,35214,34744,37273,38133,37485,37555,81510,82070,82553,83810,84518,84961,86029,86903,87282,87496,87365,87601,87901,87830,87805,2036544,2112269,2206896,2360893,2513351,2657994,2623389,2721392,2904032,3081076,3035372,3265174,3351891,3292273,3297553
blanco,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,35884,36850,38085,40230,89438,91150,92694,104602,144271,193148,138696,146424,269593,321148,269475,291255,29599,30741,32985,36191,40203,46862,47770,41037,41301,42944,43939,46389,47592,48112,48978,9096,9337,9554,9686,9835,10061,10315,10509,10569,10614,10636,10804,11038,11341,11626,269231,287033,315135,350542,395393,471476,492748,431256,436507,455804,467340,501192,525322,545640,569421
brazoria,9764.0,2234,864534,1431,795,2,1,5,594,1157985,198527,851871,107584,587,6,1,1,1162590,1222216,1269836,1413372,6521098,7244089,7580320,7645021,4839883,5026441,5155352,5200077,12523572,13492746,14005507,14258470,28489,28765,30716,33282,36096,37806,36222,36931,38904,40735,41752,44389,45577,45744,45925,261269,268051,274336,284248,293296,301336,309236,314453,319274,324433,330170,337782,345738,353828,362457,7443391,7710520,8426440,9460430,10586687,11392290,11201191,11613156,12421025,13215799,13785281,14993764,15757592,16185669,16645867
burne,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,160201,162974,167044,175848,251015,269290,286856,290871,701600,800969,947393,949216,1112816,1233233,1401294,1415935,27159,28199,29982,32862,34792,36805,34788,34729,37045,41080,39822,42901,44043,44398,45350,37776,38966,39798,41109,42026,42477,42611,42755,43216,43377,43605,43979,44781,45914,46804,1025977,1098791,1193220,1350943,1462154,1563345,1482363,1484831,1600941,1781921,1736420,1886748,1972302,2038496,2122566
chambers,114463.0,4376,6838095,1223,3087,21,5,40,3619,8435995,1527186,5305205,1603605,3558,53,8,5,131949,140841,148775,160148,614388,674247,563648,613853,1323564,1136758,1149205,1306884,2069901,1951847,1861629,2080885,27827,29588,30615,32897,35067,38081,36955,39184,42563,44651,46484,48965,51036,51462,51832,28021,28749,29388,29980,30714,31619,34230,35445,35683,36489,37350,38283,39059,40283,41441,779743,850620,899723,986242,1077049,1204093,1264957,1388885,1518775,1629270,1736162,1874533,1993426,2073025,2147981
cooke,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,184801,192826,195256,201679,1484333,1746713,1870062,1502299,655658,699144,838156,928310,2324792,2638683,2903474,2632289,25990,26857,29105,32117,34185,40667,36261,38825,42392,45358,48603,52654,49352,46575,47339,37598,37815,38143,38241,38252,38223,38413,38463,38384,38675,38429,38691,39063,39244,39895,977190,1015590,1110168,1228193,1307636,1554408,1392896,1493340,1627169,1754235,1867760,2037255,1927836,1827775,1888597
crocke,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,23024,23490,23457,25188,64804,79229,70474,71316,50387,50201,55210,58349,138214,152920,149141,154853,25519,23946,24580,26437,27285,31299,28617,29143,33992,33419,37720,38577,38106,36129,36757,3862,3857,3851,3739,3759,3783,3740,3701,3656,3703,3761,3786,3732,3653,3564,98553,92358,94656,98849,102566,118404,107029,107859,124273,123749,141865,146053,142211,131978,131002
dawson,0.0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,89540,94105,95181,98643,107467,133874,124605,117079,185765,184037,197787,220822,382772,412016,417574,436545,21876,22668,24862,22545,27550,23680,25016,31813,28954,30240,36021,31858,32352,31539,36857,14354,14062,14092,13987,13865,13804,13741,13827,13744,13601,13202,13434,12984,13042,12813,314013,318752,350354,315331,381980,326882,343741,439876,397939,411295,475552,427982,420061,411331,472243
fort bend,11517.0,920,346700,586,332,1,0,1,283,551056,25507,488996,36552,282,1,0,0,1604252,1687741,1799770,1970423,5979070,6494371,6654571,6437225,10068399,11074965,11739942,12895806,17651721,19257077,20194282,21303455,34280,35203,37822,40953,44551,49149,45978,46798,49448,52521,54301,58706,61588,54489,54510,418747,441139,462953,490916,516564,542957,569130,590286,606499,625394,652496,683943,713881,741958,764828,14354531,15529458,17509786,20104295,23013549,26685610,26167726,27624339,29990231,32846015,35431372,40151774,43966778,40428293,41690472
galveston,80953.0,10143,6518133,4705,5388,31,8,11,4562,10139647,2088549,7032098,1019005,4506,52,4,3,2269448,2353375,2354272,2537354,4601894,5338676,3622757,4350482,5235406,5410180,5758736,5939233,12106748,13102231,11735766,12827068,31549,31872,33431,36287,38821,39935,40250,40715,43169,45171,45574,48068,50015,48529,49079,265269,269760,274806,279182,283770,288643,287428,292470,295609,301059,306662,313609,321305,329306,335036,8368997,8597841,9187021,10130542,11016278,11526923,11569093,11907882,12761027,13599275,13975675,15074714,16070220,15980973,16443373
