State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Texas,1/8/2000,"18,872",1/1/2000,"123,890","8,738,970",1.42,,,
Texas,1/15/2000,"15,218",1/8/2000,"124,372","8,738,970",1.42,,,
Texas,1/22/2000,"14,151",1/15/2000,"119,713","8,738,970",1.37,,,
Texas,1/29/2000,"12,024",1/22/2000,"121,715","8,738,970",1.39,,,
Texas,2/5/2000,"13,771",1/29/2000,"115,755","8,738,970",1.32,,,
Texas,2/12/2000,"12,411",2/5/2000,"117,332","8,738,970",1.34,,,
Texas,2/19/2000,"11,631",2/12/2000,"117,264","8,738,970",1.34,,,
Texas,2/26/2000,"12,097",2/19/2000,"113,350","8,738,970",1.3,,,
Texas,3/4/2000,"11,382",2/26/2000,"114,022","8,738,970",1.3,,,
Texas,3/11/2000,"12,074",3/4/2000,"110,489","8,738,970",1.26,,,
Texas,3/18/2000,"13,925",3/11/2000,"111,810","8,738,970",1.28,,,
Texas,3/25/2000,"11,611",3/18/2000,"109,670","8,738,970",1.25,,,
Texas,4/1/2000,"10,863",3/25/2000,"109,261","8,738,970",1.25,,,
Texas,4/8/2000,"14,913",4/1/2000,"105,754","8,786,684",1.2,,,
Texas,4/15/2000,"12,329",4/8/2000,"104,209","8,786,684",1.19,,,
Texas,4/22/2000,"11,431",4/15/2000,"106,390","8,786,684",1.21,,,
Texas,4/29/2000,"11,740",4/22/2000,"100,427","8,786,684",1.14,,,
Texas,5/6/2000,"12,480",4/29/2000,"103,131","8,786,684",1.17,,,
Texas,5/13/2000,"12,827",5/6/2000,"98,878","8,786,684",1.13,,,
Texas,5/20/2000,"13,320",5/13/2000,"100,719","8,786,684",1.15,,,
Texas,5/27/2000,"13,447",5/20/2000,"98,406","8,786,684",1.12,,,
Texas,6/3/2000,"15,081",5/27/2000,"102,600","8,786,684",1.17,,,
Texas,6/10/2000,"12,683",6/3/2000,"101,106","8,786,684",1.15,,,
Texas,6/17/2000,"12,959",6/10/2000,"106,976","8,786,684",1.22,,,
Texas,6/24/2000,"12,720",6/17/2000,"103,952","8,786,684",1.18,,,
Texas,7/1/2000,"14,279",6/24/2000,"107,326","8,786,684",1.22,,,
Texas,7/8/2000,"15,123",7/1/2000,"101,435","8,830,252",1.15,,,
Texas,7/15/2000,"11,551",7/8/2000,"111,435","8,830,252",1.26,,,
Texas,7/22/2000,"12,814",7/15/2000,"108,244","8,830,252",1.23,,,
Texas,7/29/2000,"12,071",7/22/2000,"108,929","8,830,252",1.23,,,
Texas,8/5/2000,"14,270",7/29/2000,"109,307","8,830,252",1.24,,,
Texas,8/12/2000,"12,547",8/5/2000,"106,539","8,830,252",1.21,,,
Texas,8/19/2000,"13,007",8/12/2000,"108,690","8,830,252",1.23,,,
Texas,8/26/2000,"12,761",8/19/2000,"103,024","8,830,252",1.17,,,
Texas,9/2/2000,"15,067",8/26/2000,"102,877","8,830,252",1.17,,,
Texas,9/9/2000,"13,480",9/2/2000,"97,928","8,830,252",1.11,,,
Texas,9/16/2000,"11,944",9/9/2000,"102,147","8,830,252",1.16,,,
Texas,9/23/2000,"11,577",9/16/2000,"98,302","8,830,252",1.11,,,
Texas,9/30/2000,"11,968",9/23/2000,"98,720","8,830,252",1.12,,,
Texas,10/7/2000,"17,593",9/30/2000,"96,537","8,879,290",1.09,,,
Texas,10/14/2000,"14,105",10/7/2000,"95,680","8,879,290",1.08,,,
Texas,10/21/2000,"13,113",10/14/2000,"102,267","8,879,290",1.15,,,
Texas,10/28/2000,"13,421",10/21/2000,"98,145","8,879,290",1.11,,,
Texas,11/4/2000,"14,710",10/28/2000,"101,459","8,879,290",1.14,,,
