,county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage
0,angelina,15763.0,4728,6563627,1262
1,blanco,0.0,1,0,1
2,brazoria,9764.0,2234,864534,1431
3,burne,0.0,1,0,1
4,chambers,114463.0,4376,6838095,1223
5,cooke,0.0,1,0,1
6,crocke,0.0,1,0,1
7,dawson,0.0,1,0,1
8,fort bend,11517.0,920,346700,586
9,galveston,80953.0,10143,6518133,4705
10,hardin,69926.0,12277,33492557,2355
11,harris,77407.0,19195,7335670,10514
12,jasper,180955.0,8974,26226043,1660
13,jefferson,201727.0,43832,96075919,9551
14,liberty,93091.0,13460,16433393,4368
15,montgomery,27688.0,5616,4636648,2278
16,nacogdoches,35882.0,2629,2762590,731
17,newton,147313.0,3592,12979530,690
18,orange,126321.0,19308,68599543,3401
19,polk,54984.0,5861,8786524,1781
20,sabine,24370.0,2279,2741514,759
21,san augustine,17581.0,1260,1923605,325
22,san jacinto,14478.0,3471,5269934,976
23,shelby,6368.0,1168,869452,375
24,rinity,52385.0,1229,1187403,343
25,yler,278225.0,5217,18722891,1029
26,walker,10771.0,1043,1160975,369
