week_filed,initial_claims,continued_claims,covered_employment,unemployment_rate
2000-01-08,18872.0,123890.0,8738970.0,1.42
2000-01-15,15218.0,124372.0,8738970.0,1.42
2000-01-22,14151.0,119713.0,8738970.0,1.37
2000-01-29,12024.0,121715.0,8738970.0,1.39
2000-02-05,13771.0,115755.0,8738970.0,1.32
2000-02-12,12411.0,117332.0,8738970.0,1.34
2000-02-19,11631.0,117264.0,8738970.0,1.34
2000-02-26,12097.0,113350.0,8738970.0,1.3
2000-03-04,11382.0,114022.0,8738970.0,1.3
2000-03-11,12074.0,110489.0,8738970.0,1.26
2000-03-18,13925.0,111810.0,8738970.0,1.28
2000-03-25,11611.0,109670.0,8738970.0,1.25
2000-04-01,10863.0,109261.0,8738970.0,1.25
2000-04-08,14913.0,105754.0,8786684.0,1.2
2000-04-15,12329.0,104209.0,8786684.0,1.19
2000-04-22,11431.0,106390.0,8786684.0,1.21
2000-04-29,11740.0,100427.0,8786684.0,1.14
2000-05-06,12480.0,103131.0,8786684.0,1.17
2000-05-13,12827.0,98878.0,8786684.0,1.13
2000-05-20,13320.0,100719.0,8786684.0,1.15
2000-05-27,13447.0,98406.0,8786684.0,1.12
2000-06-03,15081.0,102600.0,8786684.0,1.17
2000-06-10,12683.0,101106.0,8786684.0,1.15
2000-06-17,12959.0,106976.0,8786684.0,1.22
2000-06-24,12720.0,103952.0,8786684.0,1.18
2000-07-01,14279.0,107326.0,8786684.0,1.22
2000-07-08,15123.0,101435.0,8830252.0,1.15
2000-07-15,11551.0,111435.0,8830252.0,1.26
2000-07-22,12814.0,108244.0,8830252.0,1.23
2000-07-29,12071.0,108929.0,8830252.0,1.23
2000-08-05,14270.0,109307.0,8830252.0,1.24
2000-08-12,12547.0,106539.0,8830252.0,1.21
2000-08-19,13007.0,108690.0,8830252.0,1.23
2000-08-26,12761.0,103024.0,8830252.0,1.17
2000-09-02,15067.0,102877.0,8830252.0,1.17
2000-09-09,13480.0,97928.0,8830252.0,1.11
2000-09-16,11944.0,102147.0,8830252.0,1.16
2000-09-23,11577.0,98302.0,8830252.0,1.11
2000-09-30,11968.0,98720.0,8830252.0,1.12
2000-10-07,17593.0,96537.0,8879290.0,1.09
2000-10-14,14105.0,95680.0,8879290.0,1.08
2000-10-21,13113.0,102267.0,8879290.0,1.15
2000-10-28,13421.0,98145.0,8879290.0,1.11
2000-11-04,14710.0,101459.0,8879290.0,1.14
2000-11-11,16914.0,98583.0,8879290.0,1.11
2000-11-18,18344.0,107335.0,8879290.0,1.21
2000-11-25,13055.0,100405.0,8879290.0,1.13
2000-12-02,14514.0,119735.0,8879290.0,1.35
2000-12-09,14971.0,105509.0,8879290.0,1.19
2000-12-16,14545.0,116638.0,8879290.0,1.31
2000-12-23,15346.0,108763.0,8879290.0,1.22
2000-12-30,17745.0,114884.0,8879290.0,1.29
2001-01-06,12071.0,121953.0,8879290.0,1.37
2001-01-13,18541.0,123437.0,8951457.0,1.38
2001-01-20,16796.0,118692.0,8951457.0,1.33
2001-01-27,14859.0,126450.0,8951457.0,1.41
