RegionID,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
3101,Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,6,37,1,278000,278300,278600,278900,279200,279600,280200,280800,281800,283200,284300,285100,286000,287100,288500,290300,292300,294800,297600,300900,305000,309500,313700,317500,321000,324200,327100,329900,332700,335500,338600,341900,345700,349700,353400,356600,359800,362800,365500,368000,370200,372200,374400,376700,379500,382800,385900,388800,391700,394600,397500,400400,403200,406100,409000,412000,415200,418600,421900,425100,428100,431100,434000,436900,439900,442900,446200,449700,453700,458000,462600,467400,472600,478300,484500,491100,498100,505600,513500,521700,529800,537500,544900,552300,560000,567900,576400,585500,595100,604800,614800,624900,635700,647200,659800,673600,688600,704000,719200,733500,746500,758100,768200,776800,784600,792000,799300,806800,814600,822600,831100,840200,849300,858400,867000,874600,881000,886500,891000,895300,898800,901300,902300,901300,897800,893100,888200,883100,878400,874100,869300,864300,858800,852800,846600,840000,832600,825300,818200,811500,805200,798700,790500,780700,769200,757200,746000,737600,731700,727500,723500,720000,717200,715100,712100,708200,703200,697300,693200,693600,696800,700900,705000,708700,710800,712700,714300,712700,711600,713300,712900,707400,703400,699100,695000,691500,688900,684800,681000,678600,676300,673800,673100,672200,669200,665800,663400,660700,657800,656400,656700,658900,663800,669800,674700,679000,682700,686700,692400,701100,709500,716700,726100,740400,754800,767700,779100,789200,797400,803900,808100,810900,812600,814200,817300,821500,825300,829200,835000,841700,845900,848700,850800,852200,855700,862600,868900,873600,879000,885000,890000,894900,899500,905000,911500,918000,924400,930200,933500,936500,939500,941800,944900,950300,957400,964300,969200,974500,981400,986800,990400,994500,1000800,1008200,1015600,1022600,1031000,1040400,1049600,1058100,1066400,1078500,1093300,1104200,1109300,1113000,1116600,1120000,1124300,1129300,1135700,1141100,1144700,1147400,1148800
139,Cook County,IL,Chicago-Naperville-Elgin,17,31,2,219500,220900,221800,221800,221100,219700,217600,214900,212600,210600,208300,205800,203500,201600,199700,197800,196100,195100,195000,196000,198500,202000,205700,209300,213200,217100,221000,225000,229000,232900,236400,239200,241500,243300,244000,243800,243600,243600,244000,245000,246500,248300,250500,253100,256400,260200,263900,267100,270600,274000,277300,280600,283600,286400,288900,291200,293300,295200,296800,298100,299400,300900,302500,304400,306400,308600,310900,313200,315600,318000,320400,322800,325100,327200,329200,331000,332900,334600,336400,338200,339900,341600,343200,344700,346300,347700,349200,350700,352300,353900,355700,357600,359600,361900,364200,366700,369300,372000,374900,377900,380800,383700,386500,389200,391800,394400,396800,399400,402400,405600,408900,412400,415900,419400,422900,426100,428900,431400,433700,435900,438100,439600,440700,441300,441400,441300,441300,441300,441300,441400,441100,440700,440000,438700,437100,435500,433900,432400,431200,429800,427600,424900,421700,418400,415000,411100,406900,402700,398500,394800,391800,389100,385900,382700,379400,375800,371700,366700,361900,358300,355700,353800,352700,352300,351800,351800,352700,351900,349000,347200,346100,343500,340800,337900,333600,329900,327100,325900,325500,324000,321700,319900,318300,317000,316100,314900,313400,311500,311300,309900,307000,305200,306300,307600,309100,310500,312000,313700,315200,316600,317800,319200,321000,324100,327900,332000,336600,342200,346400,349300,351300,352500,353300,354300,355000,355700,356800,358700,360700,362600,364100,365300,366000,366700,367100,366300,365500,366900,369500,371100,371800,371600,370900,371000,372600,374200,375100,375900,377400,379200,380800,381800,382600,383300,384400,385700,387300,389400,390700,390700,390500,391100,392200,393400,393900,394100,394200,394200,394900,395700,395600,397300,400700,402800,403000,403400,403000,402000,401500,401400,401300,402000,402800,403200,403500
1090,Harris County,TX,Houston-The Woodlands-Sugar Land,48,201,3,205300,204700,204400,204500,205000,205800,206700,207200,207100,206400,205300,204400,203700,203500,203800,204500,205700,207000,208300,209400,209800,209600,209100,208500,208000,207600,207300,207200,207500,208400,210200,213300,218000,224000,230500,236700,241200,243400,243800,242900,241300,239200,237200,236000,236200,238100,241800,246800,252300,257800,262600,265900,266900,265300,261800,257400,253100,249500,246400,243600,241100,238800,236700,235100,234300,234300,234900,235700,236500,236900,236700,236000,235500,235400,235600,236000,236500,237000,237500,237700,237200,236500,235500,234400,233300,232400,231700,231100,230800,230800,231000,231400,231700,232000,232200,232400,232500,232600,232700,233000,233500,234200,235100,236100,237300,238500,239600,240500,241300,241900,242500,242800,243000,243200,243500,243800,244300,244900,245500,246000,246300,246500,246900,247600,248700,250100,251500,252900,254000,254700,255100,255500,256000,256800,257800,258800,259600,260200,260600,260900,260700,259900,258700,257300,255900,254700,253800,253100,252600,252200,251900,251700,251600,251500,251300,251000,250700,250300,249900,249900,250200,250500,250900,251300,251600,252000,252100,252200,252600,252700,252000,250900,249800,249100,248500,247300,246000,245200,244800,244900,245500,246300,246600,246300,246000,245800,245800,245800,245400,244800,245100,245300,244800,244400,245100,246400,247800,248400,248400,248900,250400,251900,253400,254800,256200,257800,260300,262900,264900,266800,268500,270100,271700,273000,274200,276000,278500,281200,284100,286700,288800,291300,294100,296900,299400,301200,302200,303900,306200,308100,309500,311100,312700,314000,314900,315600,316500,317700,318800,319500,320100,320800,321500,322100,322500,322800,323200,323500,323800,324300,324800,324900,325300,326100,326600,326600,326600,326600,327100,327700,327600,328800,332000,335200,336900,337700,337600,337600,338100,338400,338700,339800,341600,343300,344200
2402,Maricopa County,AZ,Phoenix-Mesa-Scottsdale,4,13,4,177400,177500,177800,178500,179300,180300,181300,182300,183300,184300,185200,186200,187300,188500,189700,190700,191600,192500,193400,194300,195100,195800,196500,197200,197800,198600,199600,200800,202100,203500,204900,206400,207800,209100,210400,211600,212900,214200,215400,216600,217600,218500,219600,220800,222300,224100,225900,227800,229500,231100,232300,233400,234300,235200,236100,237300,238600,240100,241400,242500,243400,243900,244300,244500,244700,245100,245600,246300,247300,248500,249600,250600,251600,252600,253500,254500,255700,256900,258200,259700,261100,262500,263600,264700,265800,266900,268200,269700,271300,273200,275300,277300,279400,281600,284000,286700,289700,293400,298100,303800,310400,317700,325900,334900,344900,355600,366900,379300,393100,408000,423500,439100,453700,466500,477000,485000,490700,494800,498200,500900,502600,502800,501400,498500,494700,490700,486900,483500,480900,478900,477300,475700,474200,472400,469800,466200,461600,455900,449200,441800,434000,425800,417100,408200,399600,392000,384800,377900,371300,364700,358100,351600,345300,339100,332700,325900,319000,312200,306100,302000,299500,297800,296600,296100,296000,296100,296100,295700,294600,292700,290400,287300,283400,280600,279000,276600,274600,273600,273200,272700,271600,269400,267700,266500,265900,265700,266600,268900,271500,273300,275800,279300,284400,290200,295100,299600,304400,308200,311100,314600,317800,320400,323500,327400,331100,335600,340500,345200,348900,352400,354500,355300,355900,357400,358300,358600,358500,359000,359600,359700,359300,359800,361300,362900,364100,365000,366000,366900,368300,370600,373200,376000,379100,381400,382300,382900,383900,384900,385800,387100,388400,389500,390800,392600,394300,395000,395900,397600,398900,399000,399400,401100,403400,405000,406500,408300,410100,412000,413900,415400,417000,420000,423500,425900,427800,430100,432600,434800,436700,438600,440800,442500,444500,446800,448100
2841,San Diego County,CA,San Diego-Carlsbad,6,73,5,265300,264800,264200,263700,263500,263600,264100,265000,266400,268000,269600,271000,272500,274100,275900,278000,280200,282700,285500,288600,292200,296200,299900,303200,306600,310000,313600,317300,320900,324400,328000,331600,335300,338900,342100,345000,348000,351000,354100,357400,360700,364200,368100,372400,377500,383000,388500,393700,398800,403900,408800,413500,417900,421900,425700,429500,433500,437700,442100,446400,450700,454800,458500,462000,465600,469400,473700,478300,483300,488300,493200,498100,503200,508400,513900,519600,525600,531800,538400,545000,551400,557400,562900,568500,574400,580600,587600,595600,604400,613900,623700,633700,644400,656100,669000,683100,698400,714700,731600,747600,761500,772900,781900,788400,793100,796700,799700,802500,804600,805500,805400,804500,803000,801800,800900,800200,800100,800600,801400,802400,802800,802300,800600,797500,793500,789900,786900,784000,781200,778400,774500,769500,764100,759100,754900,751100,747000,743000,738500,733000,726600,719400,711000,702300,693400,685400,678400,672400,667400,663800,660800,658200,656300,654800,652300,648400,643400,637800,633900,632800,633800,635500,637500,639400,641500,643600,644200,643500,643900,644400,643200,640200,637200,632900,628200,624500,619000,612400,609300,608900,607900,605500,600700,596400,593600,590600,588300,587400,587000,587900,589300,590600,594100,600100,606200,610300,614100,619400,625600,632400,639000,642800,647500,657600,668200,677200,688000,698300,705400,710200,712400,712900,715600,720900,725700,727300,727000,727400,730000,733400,734100,735000,737900,739700,739600,741200,745200,749500,753100,757300,763000,768900,774400,779100,782200,784700,790000,796300,799300,800700,803500,806100,807400,809500,813000,817200,822300,828900,834800,838900,841900,845700,851400,857800,862200,865200,868300,872400,876200,879800,884600,893600,903600,910300,912600,913200,914000,916500,920900,923500,924800,926500,927400,925600,923400
1286,Orange County,CA,Los Angeles-Long Beach-Anaheim,6,59,6,312500,312000,311400,310800,310500,310300,310400,310800,311600,312800,313700,314500,315500,316900,318700,320900,323500,326500,330000,333800,338200,343000,347600,351800,356200,360700,365200,369800,374400,378700,382900,387000,391000,394900,398200,401000,403700,406200,408700,411200,413800,416600,419900,423400,427400,431700,435600,439100,442400,445700,449100,452600,456100,459800,463800,467900,472300,476700,480800,484600,488300,491700,495200,498800,502500,506600,510900,515400,520100,524800,529500,534300,539600,545500,552200,559600,567300,575300,583800,592200,600300,608000,615400,623100,631400,640200,649900,660600,672200,684400,697000,709800,723600,738700,755500,774100,794000,813800,832400,848200,860500,869600,876600,882600,888400,894300,900100,905900,911400,916200,921300,927000,933100,939600,946300,953200,960500,967800,974600,980600,985100,987400,987800,986600,984400,981800,978600,974700,971000,967700,963700,958100,950800,942000,932100,920900,908700,897000,885800,874400,861900,848300,834500,821300,809900,801700,796600,793000,789600,787100,785500,784400,783500,782100,779300,774600,768700,762900,758500,756600,756700,757700,759200,760900,762300,763400,763600,761600,760400,761300,760300,757600,755500,753400,749700,743500,736800,731900,728800,726700,724900,721200,717400,715200,713500,710000,707300,708600,712000,712200,711200,713300,716500,720300,725200,731300,736800,744400,751900,757700,763700,772800,785000,800400,817600,832200,844200,852800,858200,861600,865100,867700,868300,870300,874600,877800,879900,882100,882200,881100,881100,882700,885100,888900,892000,894300,897200,901600,904600,907000,910400,914600,919700,926000,930300,933800,939100,943400,944000,944700,945900,947800,950800,955100,959200,963200,968900,974300,978700,983600,988800,991800,993100,995000,999400,1004900,1009300,1013000,1016900,1022500,1028000,1036500,1047100,1054900,1060800,1069400,1078300,1084900,1090400,1091900,1092500,1094200,1097000,1096600,1093600
581,Kings County,NY,New York-Newark-Jersey City,36,47,7,225500,226000,226500,226800,227100,227400,227600,227800,228400,229300,230200,230700,231300,232000,232700,233500,234800,236300,238200,240200,242600,245300,247800,250100,252400,254400,256100,257500,258800,260200,261700,263400,265600,268200,270800,273300,276200,279200,282400,285900,289400,293100,297000,301100,305900,311100,316400,321500,326600,331300,335600,339500,343100,346700,350400,354600,359500,365000,370800,377000,383300,389400,395100,400800,406900,413500,420800,428400,435600,441100,443300,441900,437900,433000,428800,426300,425900,427500,430400,434100,438200,443500,451200,461800,475400,491500,508900,524900,537100,545000,550200,554100,557900,562500,567800,573900,580400,587500,595300,604500,615300,627700,641100,654300,666800,678100,688200,698000,707400,715700,723400,732000,741900,752400,762400,771000,777600,782100,784600,787600,792600,799000,805400,811600,816200,818100,817500,815500,813800,813300,812800,812900,813200,811700,807900,804400,801700,799300,796900,795500,796600,800500,805200,811000,817200,820400,819100,816000,811900,807600,802900,797800,792800,788300,782700,777900,774000,768800,761300,754800,750400,748400,748400,750500,753700,756800,760100,752700,736500,728300,733700,736300,732400,725800,724100,726400,728000,727000,732800,746700,759700,766300,769600,772100,774600,777300,778200,776800,774500,773400,772000,770400,770600,771400,770500,772400,777500,784200,792600,801700,809400,816000,818800,821500,829000,841000,852400,863300,874700,889100,902900,913200,923700,935100,943700,951000,960800,972600,982800,990900,1001200,1012000,1017800,1023200,1031700,1041300,1047500,1055300,1067300,1079000,1089700,1105200,1124200,1139600,1153100,1165000,1176000,1183600,1193700,1203900,1211600,1216800,1225700,1234600,1240400,1244300,1248800,1257100,1269100,1280900,1288400,1296500,1301800,1304000,1305300,1309900,1313400,1316400,1317500,1316500,1317100,1325500,1336700,1343900,1347600,1348700,1349300,1352200,1355300,1354900,1353900,1349500,1337500,1325800,1322400
2964,Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,8,172500,172700,172700,172600,172300,172100,171800,171700,172000,172400,172800,173100,173400,173800,174200,174700,175100,175600,176200,176700,177500,178300,179000,179300,179500,179600,179600,179700,180100,180800,181600,182500,183500,184400,185000,185500,186000,186600,187400,188100,188700,189300,189900,190400,191100,192100,193100,194200,195600,197100,198600,200200,201800,203500,205300,207200,209300,211400,213500,215600,217900,220400,223200,226100,229200,232300,235500,238600,241900,245100,248200,251200,254200,257100,259900,262700,265600,268600,271800,275300,279200,283100,287100,291000,294700,298100,301200,304300,307200,310100,313300,316600,320300,324400,328900,333800,338900,344200,349900,355900,362000,368400,375100,382100,389400,396900,404200,411700,419800,428600,438000,447600,456900,465500,473300,480300,487300,494600,502300,510800,519800,527800,534400,539300,542600,544700,546000,546500,547000,547600,547500,547200,546900,546100,544800,542900,539900,536200,531500,525100,517000,507700,496300,483700,470700,457700,445100,434100,424200,414800,405200,395300,385700,377300,368800,359900,351000,341600,333300,328100,325600,324400,323800,322900,322100,322200,322800,320700,317400,315300,314900,312800,309400,305700,304100,304800,304200,301900,301300,303300,305400,307100,307600,306700,306100,306500,306700,307500,310000,312100,313800,316600,320500,324400,327800,331300,335000,337500,338700,341000,343900,346800,349900,353500,357600,363000,368500,373800,378000,381900,385400,388600,392200,396900,400900,403900,407000,409600,413000,417700,423300,427800,430500,432100,433700,434900,435800,437500,440100,443100,445800,447900,450100,453700,457400,458800,459100,459900,462700,466700,469900,471600,474000,476500,476800,476500,479200,483600,487100,489200,489400,488600,489100,490500,492100,494500,496500,498400,499900,500100,500000,502800,507200,510600,512200,513500,514400,514700,514800,514900,516100,517000,517600,518100,518300
978,Dallas County,TX,Dallas-Fort Worth-Arlington,48,113,9,193700,194100,194700,195300,196000,196700,197400,198200,198900,199400,199800,200100,200400,200800,201200,201500,201700,201800,202100,202700,203500,204700,206100,207300,207800,207700,207200,206400,205600,205000,204600,204800,205600,206800,208100,209000,209700,210200,210500,210800,211100,211400,211800,212100,212500,212700,212800,212800,212700,212700,212800,213200,213700,214300,214800,215000,214700,214200,213400,212700,212200,211900,211900,212000,212300,212800,213300,213900,214300,214600,214800,215000,215300,215900,216500,217300,218100,218800,219300,219800,220000,220200,220500,220800,221100,221400,221600,221500,221300,221000,220700,220700,221200,222500,224300,226400,228200,229600,230600,231300,231800,232300,232900,233500,234200,234900,235700,236600,237600,238900,240300,241800,243200,244300,245300,246300,247200,248500,249800,251100,252300,253300,253900,254600,255400,256400,257500,258500,259200,259800,260100,260600,261100,261600,262000,262400,262600,262800,262800,262600,261800,260600,258800,256700,254800,253300,252200,251700,251400,251000,250700,250500,250400,250600,250700,250600,250300,249800,249000,248500,248200,248100,248100,248100,248400,247800,247700,247500,246600,245900,246100,245300,244800,244700,244200,243500,242800,242500,242100,241500,241200,241300,241100,240700,240200,240200,240400,240700,241000,241300,241300,241400,241800,242300,243100,244000,244400,244100,244100,244500,244700,245000,245600,246600,247900,248900,249800,251200,252700,253400,253900,254900,255800,256300,257000,258100,259500,261200,262800,264600,266800,269100,271000,272700,274600,276500,278700,281500,284200,286500,288500,290200,291800,293700,295700,297900,300000,301600,303100,305200,307800,311000,315600,321000,325300,328900,333700,337900,340600,343800,348400,353100,357600,361900,365200,367800,370500,373800,375600,375600,375600,377900,381300,384100,386300,388000,388500,388700,389200,390400,392300,395900,402000,408600,412300
1347,Queens County,NY,New York-Newark-Jersey City,36,81,10,241800,242600,243600,244400,245100,245600,246000,246400,246900,247400,247600,247600,247800,248400,249200,250400,251800,253400,255100,256900,258900,260800,262400,263600,265000,266700,268600,270800,272900,275000,277100,279100,281200,283100,284700,286400,288600,291600,295200,299100,303200,307200,311300,315400,319800,324100,327900,331500,335200,339200,343300,347300,351100,354700,358000,361300,364400,367000,369000,370900,373400,377100,381800,387300,393200,399300,405400,411100,415700,418400,418500,417200,415700,415100,415400,416000,416600,417300,418700,420800,425300,435000,450600,468800,484000,492200,494800,494900,494800,496100,499300,504200,510300,516300,521800,527400,534300,542800,552600,562900,573000,582900,592400,601100,608600,614500,618900,623300,629000,636100,644500,653500,662800,672200,681500,690200,698100,704400,708700,711800,715200,719000,722600,724800,724700,721500,715000,707000,699400,693800,690200,688000,686900,686100,684700,683000,681300,680100,679100,678500,677500,675700,672500,668300,663000,657300,651600,647200,643900,640800,637800,635700,633800,631800,629100,626100,623600,621200,619000,618400,619000,619700,621000,623600,626800,627200,626900,627300,625400,621700,622400,625600,624700,618800,615500,612700,610900,611600,615500,617100,619000,621700,621900,618200,617200,621400,622600,619300,613800,609600,605600,603400,601000,599500,599000,598000,597000,599800,603900,606900,609100,611000,613000,616100,621700,628700,634100,637700,641800,646500,651300,657400,664000,670800,677900,683900,688600,692500,697000,703500,711200,715600,718400,724100,732400,739300,744800,750900,756700,761000,766900,775600,781700,784800,789200,794500,798100,801500,805200,807900,811500,815700,819400,823200,827800,830200,832600,838300,846100,851600,854000,856900,862500,869700,875200,880200,885600,892200,898300,902300,904200,907600,910800,915100,919700,925600,931200,935300,936700,939400,942900,945100,945300,945600,947000
